Name,Alcohol,Ingredients
Sex on the Beach,Vodka; Peach Schnapps,Orange Juice; Cranberry Juice
Long Island Iced Tea,Tequila; Gin; Vodka; Rum; Triple Sec,Coke; Lemon Juice; Syrup 
French Martini,Vodka; Rasberry Liqueur,Pineapple Juice
Pina Colada,White Rum,Pineapple Juice; Coconut Cream
Mojito,Rum,Soda Water; Lime Juice; Mint Leaves
Pornstar Martini,Vodka; Passion Fruit Liquer; Prosecco,Syrup; Lime Juice
Margarita,Tequila; Triple Sec,Lime Juice; Syrup
Kir Royale,Champagne; Crème de Cassis,
Gin Fizz,Gin,Egg White; Lime Juice; Syrup; Soda Water
Singapore Sling,Gin; Herbal Liqueur; Cherry Liqueur; Cognac,Pineapple Juice; Bitters
Old Fashioned,Whiskey,Sugar Cube; Bitters
Tequila Sunrise,Tequila,Orange Juice; Grenadine Syrup
Woo Woo,Vodka; Peach Schnapps,Cranberry Juice
Bellini,Prosecco,Peach Puree
Tom Collins,Gin,Soda Water; Lemon Juice; Syrup
Bramble,Gin; Crème de Mure,Lemon Juice; Syrup
Moscow Mule,Vodka,Ginger Beer; Lime Juice
Godfather,Whiskey; Amaretto,
Paloma,Tequila,Grapefruit Juice
Dark 'N' Stormy,Rum,Ginger Beer; Bitters
Gin Sour,Gin; Aperol,Syrup; Egg White; Lemon Juice; Bitters
Daiquiri,Rum,Syrup; Lime Juice
Caipirinha,Cachaca,Syrup; Lime Juice; Lime
Caipiroska,Vodka,Lime; Syrup
Espresso Martini,Vodka; Coffee Liqueur,Espresso; Syrup
Manhattan,Whiskey; Sweet Vermouth,Bitters
Bloody Mary,Vodka,Worcestershire Sauce; Tomato Juice; Lemon Juice; Tobasco
Mai Tai,Rum,Grenadine Syrup; Orange Juice; Pineapple Juice
White Russian,Vodka; Coffee Liqueur,Cream
Black Russian,Vodka; Coffee Liqueur,
Cosmopolitan,Vodka; Triple Sec,Lime Juice; Cranberry Juice
Blue Hawaiian,Blue Curacao; Rum,Lemon Juice; Pineapple Juice; Coconut Cream
Whiskey Sour,Whiskey,Syrup; Egg White; Lemon Juice
Pisco Sour,Pisco,Syrup; Egg White; Lemon Juice
Sazerac,Cognac; Whiskey,Bitters
Negroni,Campari; Sweet Vermouth; Gin,
Sidecar,Cognac; Triple Sec,Lemon Juice
Bahama Mama,Rum,Grenadine Syrup; Orange Juice; Pineapple Juice
New Yorker,Whiskey,Syrup; Lemon Juice; Red Wine; Egg White
Gimlet,Gin,Lime Juice; Syrup
Americano,Campari; Sweet Vermouth,Soda Water
Corpse Reviver,Gin; Triple Sec; Lillet Blanc,Lemon Juice
Amaretto Sour,Amaretto,Syrup; Lemon Juice
Snowball,Advocaat,Lemonade; Lime Juice
Vesper,Vodka; Gin; Lillet Blanc,
Navy Grog,Rum,Lime Juice; Grapefruit Juice; Soda Water; Syrup
Rusty Nail,Whiskey; Whiskey Liqueur,
El Presidente,Rum; Curacao; Dry Vermouth,Grenadine Syrup
Whiskey Smash,Whiskey,Lemon; Syrup; Mint Leaves
Pink Gin,Gin,Bitters
The Goldrush,Whiskey,Honey; Lemon Juice; Mint
Bay Breeze,Vodka,Cranberry Juice; Pineapple Juice; Lime
Bronx,Gin; Dry Vermouth; Sweet Vermouth,Orange Juice; Bitters
Gin Basil Smash,Gin,Basil; Lemon Juice; Syrup
Aviation,Gin; Maraschino Liqueur; Crème de Violette,Lemon Juice
White Lady,Gin; Triple Sec,Lemon Juice; Syrup; Egg White
Mexican Mule,Tequila,Lime Juice; Syrup; Ginger Beer
After Eight,Vodka; Mint Liqueur; Irish Cream,
Bee Sting,Tequila,Honey; Lemon Juice; Jalapeno
Flaming Ferrari,Sambuca; Coffee Liqueur; Blue Curacao; Irish Cream,
Harvey Wallbanger,Vodka; Galliano L'Autentico Liqueur,Orange Juice
RobRoy,Scotch; Sweet Vermouth,Bitters
Screwdriver,Vodka,Orange Juice
Gin Rickey,Whiskey; Gin,Lime Juice; Soda Water
Accomplice,Vodka; Champagne,Lemon Juice; Syrup; Strawberries
Carribean Sunrise,Rum,Orange Juice; Grenadine Syrup; Oranges
Cantaritos,Tequila,Orange Juice; Grapefruit Juice; Lime Juice; Grapefruit Soda
Vieux Carre,Whiskey; Cognac; Sweet Vermouth; Benedictine,Bitters
Amaretto Sunrise,Amaretto,Orange Juice; Grenadine Syrup
Jammie Dodger,Rasberry Liqueur; Irish Cream,
Alabama Slammer,Amaretto; Sloe Gin; Southern Comfort,Orange Juice
Alaska,Gin; Yellow Chartreuse,Bitters
Ice Pick,Vodka,Iced Tea; Lemon Juice
Grasshopper,Crème de Menthe; Crème de Cacao,Cream
Bermuda Black Shrub,Rum,Ginger Beer; Lime
Mint Julep,Whiskey,Syrup; Mint
Cuba Libre,Rum,Lime; Coke
Irish Coffee,Irish Whiskey,Coffee; Brown Sugar; Cream
Zombie,Rum; Apricot Brandy,Orane Juice; Pinapple Juice; Lime Juice; Grenadine Syrup
Clover Club,Gin,Egg White; Lemon Juice; Raspberry Syrup
Brandy Alexander,Cognac; Crème de Cacao,Cream
Appletini,Vodka; Green Apple Schnapps,Lemon Juice
French 75,Gin; Champagne,Lemon Juice; Syrup
Royal Hawaiian,Gin,Pineapple Juice; Lemon Juice; Almond Syrup
El Diablo,Tequila; Crème de Cassis,Lime Juice; Ginger Beer
Boston Sour,Whiskey,Lemon Juice; Syrup; Egg White
Gibson,Gin; Dry Vermouth,
Whiskey Mac,Scotch; Ginger Wine,
Ballet Russe,Vodka; Crème de Cassis,"Lime Juice, Syrup"
Midori Sour,Midori Liqueur; Vodka,Lemon Juice; Lime Juice
Aperol Spritz,Aperol; Prosecco,Soda Water
Breakfast Martini,Gin; Triple Sec,Lemon Juice; Orange Marmalade
Acapulco,Rum; Tequila,Grapefruit Juice; Pineapple Juice; Syrup
Hanky Panky,Gin; Sweet Vermouth; Fernet-Branca,
Ace,Gin,Grenadine Syrup; Cream
Blushing Bride,Champagne; Peach Schnapps,Grenadine Syrup
Pickle Back,Whiskey,Pickle Juice
Dirty Martini,Vodka; Dry Vermouth,Olives
Mad Dog,Vodka,Raspberry Syrup; Tabasco
